caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
1946-011,1946-011-01,1946-011-01-01,1946-011-01-01-01,12/9/1946,opinion of the court (orally argued),329 U.S. 173,67 S. Ct. 216,91 L. Ed. 172,1946 U.S. LEXIS 1657,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,36,CARTER v. ILLINOIS,11/15/1946,,person convicted of crime,,State,Illinois,cert,,,no mention that a 3-judge ct heard case,State Trial Court,17,State Supreme Court,Illinois,no mention that dissent occurred,to resolve important or significant question,affirmed,conservative,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,right to counsel (cf. indigents appointment of counsel or inadequate representation),Criminal Procedure,conservative,dissent in opposite direction,judicial review (state level),,Constitutional Amendment,Sixth Amendment (right to counsel),,"FFrankfurter 	Frankfurter, Felix ( 01/30/1939 - 08/28/1962 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,5,4
1946-012,1946-012-01,1946-012-01-01,1946-012-01-01-01,12/9/1946,opinion of the court (orally argued),329 U.S. 187,67 S. Ct. 261,91 L. Ed. 181,1946 U.S. LEXIS 1658,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,37,BALLARD ET AL. v. UNITED STATES,10/15/1946,,"person accused, indicted, or suspected of crime",,United States,,cert,,,no mention that a 3-judge ct heard case,California Southern U.S. District Court,6,"U.S. Court of Appeals, Ninth Circuit",,dissent in ct whose dec the sct reviewed,to resolve important or significant question,affirmed,conservative,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,sex discrimination (excluding sex discrimination in employment),Civil Rights,liberal,dissent in opposite direction,Supreme Court supervision of lower federal or state courts or original jurisdiction,,,,,"WODouglas 	Douglas, William ( 04/17/1939 - 11/12/1975 )","HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )",first vote on issue/legal provision,6,3
1946-013,1946-013-01,1946-013-01-01,1946-013-01-01-01,12/9/1946,opinion of the court (orally argued),329 U.S. 207,67 S. Ct. 211,91 L. Ed. 193,1946 U.S. LEXIS 1659,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,67,UNITED STATES v. BRUNO,11/22/1946,,United States,,defendant,,cert,"Office of Price Administration, or Price Administrator",,no mention that a 3-judge ct heard case,New Jersey U.S. District Court,35,"U.S. Court of Appeals, Third Circuit",,no mention that dissent occurred,putative conflict,reversed,liberal,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,statutory construction of criminal laws: financial (other than in fraud or internal revenue),Criminal Procedure,conservative,dissent in opposite direction,statutory construction,,Infrequently litigated statutes,Infrequently litigated statutes,50 U.S.C. € 925,"WODouglas 	Douglas, William ( 04/17/1939 - 11/12/1975 )","HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )",first vote on issue/legal provision,9,0
1946-014,1946-014-01,1946-014-01-01,1946-014-01-01-01,12/9/1946,opinion of the court (orally argued),329 U.S. 211,67 S. Ct. 224,91 L. Ed. 196,1946 U.S. LEXIS 1660,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,51,FISWICK ET AL. v. UNITED STATES,11/19/1946,,"alien, person subject to a denaturalization proceeding, or one whose citizenship is revoked",,United States,,cert,,,no mention that a 3-judge ct heard case,New Jersey U.S. District Court,35,"U.S. Court of Appeals, Third Circuit",,dissent in ct whose dec the sct reviewed,putative conflict,affirmed,conservative,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,statutory construction of criminal laws: conspiracy (cf. subconstitutional fair procedure: conspiracy),Criminal Procedure,liberal,dissent in opposite direction,statutory construction,,Infrequently litigated statutes,Infrequently litigated statutes,18 U.S.C. € 88,"WODouglas 	Douglas, William ( 04/17/1939 - 11/12/1975 )","HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )",first vote on issue/legal provision,9,0
1946-015,1946-015-01,1946-015-01-01,1946-015-01-01-01,12/9/1946,opinion of the court (orally argued),329 U.S. 223,67 S. Ct. 213,91 L. Ed. 204,1946 U.S. LEXIS 3147,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,65,"FEDERAL COMMUNICATIONS COMMISSION v. WOKO, INC.",11/22/1946,,"Federal Communications Commission (including a predecessor, Federal Radio Commission)",,radio station,,cert,"Federal Communications Commission (including a predecessor, Federal Radio Commission)",,no mention that a 3-judge ct heard case,"U.S. Court of Appeals, District of Columbia Circuit (includes the Court of Appeals for the District of Columbia but not the District of Columbia Court of Appeals, which has local jurisdiction)",,"U.S. Court of Appeals, District of Columbia Circuit (includes the Court of Appeals for the District of Columbia but not the District of Columbia Court of Appeals, which has local jurisdiction)",,dissent in ct whose dec the sct reviewed,to resolve important or significant question,reversed,conservative,no declaration of unconstitutionality,reversed and remanded,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,federal and some few state regulation of public utilities regulation: radio and television (cf. cable television),Economic Activity,liberal,dissent in opposite direction,statutory construction,"interpretation of administrative regulation or rule, or executive order",Federal Statute,"Communication Act of 1934, as amended",,"RHJackson 	Jackson, Robert ( 07/11/1941 - 10/09/1954 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,8,0
1946-016,1946-016-01,1946-016-01-01,1946-016-01-01-01,12/9/1946,opinion of the court (orally argued),329 U.S. 230,67 S. Ct. 252,91 L. Ed. 209,1946 U.S. LEXIS 2996,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,40,UNITED STATES v. CARMACK,10/18/1946,,United States,,"heir, or beneficiary, or person so claiming to be",,cert,"Federal Works Administration, or Administrator",,no mention that a 3-judge ct heard case,Missouri Eastern U.S. District Court,30,"U.S. Court of Appeals, Eighth Circuit",,no mention that dissent occurred,to resolve important or significant question,affirmed,conservative,no declaration of unconstitutionality,reversed and remanded,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,"due process: takings clause, or other non-constitutional governmental taking of property",Due Process,liberal,dissent in opposite direction,statutory construction,,Infrequently litigated statutes,Infrequently litigated statutes,40 U.S.C. € 341,"HHBurton 	Burton, Harold ( 10/01/1945 - 10/13/1958 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,9,0
1946-017,1946-017-01,1946-017-01-01,1946-017-01-01-01,12/16/1946,opinion of the court (orally argued),329 U.S. 249,67 S. Ct. 274,91 L. Ed. 265,1946 U.S. LEXIS 1616,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,3,"FREEMAN, TRUSTEE, v. HEWIT, DIRECTOR OF GROSS INCOME TAX DIVISION",10/8/1944,10/14/1946,"agent, fiduciary, trustee, or executor",,"governmental official, or an official of an agency established under an interstate compact",Indiana,appeal,,,no mention that a 3-judge ct heard case,State Trial Court,18,State Supreme Court,Indiana,no mention that dissent occurred,case did not arise on cert or cert not granted,reversed,liberal,"state or territorial law, reg, or const provision unconstitutional",reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,state or local government tax,Economic Activity,conservative,dissent in opposite direction,judicial review (state level),,Constitution,"Article I, Section 8, Paragraph 3 (interstate commerce clause)",,"FFrankfurter 	Frankfurter, Felix ( 01/30/1939 - 08/28/1962 )","HFStone 	Stone, Harlan ( 03/02/1925 - 04/22/1946 )",first vote on issue/legal provision,6,3
1946-018,1946-018-01,1946-018-01-01,1946-018-01-01-01,12/16/1946,opinion of the court (orally argued),329 U.S. 287,67 S. Ct. 207,91 L. Ed. 290,1946 U.S. LEXIS 1617,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,54,"UNITED STATES v. RUZICKA ET AL., TRADING AS SEELEY DAIRY",11/20/1946,,United States,,"food, meat packing, or processing company, stockyard",,cert,Department or Secretary of Agriculture,,no mention that a 3-judge ct heard case,Illinois Northern U.S. District Court,17,"U.S. Court of Appeals, Seventh Circuit",,dissent in ct whose dec the sct reviewed,to resolve important or significant question,reversed,conservative,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",Economic Activity,liberal,dissent in opposite direction,"interpretation of administrative regulation or rule, or executive order",statutory construction,Infrequently litigated statutes,Infrequently litigated statutes,7 U.S.C. € 601,"FFrankfurter 	Frankfurter, Felix ( 01/30/1939 - 08/28/1962 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,9,0
1946-019,1946-019-01,1946-019-01-01,1946-019-01-01-01,12/16/1946,opinion of the court (orally argued),329 U.S. 296,67 S. Ct. 271,91 L. Ed. 296,1946 U.S. LEXIS 3145,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,48,"ROTHENSIES, COLLECTOR OF INTERNAL REVENUE, v. ELECTRIC STORAGE BATTERY CO.",11/15/1946,,"Internal Revenue Service, Collector, Commissioner, or District Director of",,"taxpayer or executor of taxpayer's estate, federal only",,cert,"Internal Revenue Service, Collector, Commissioner, or District Director of",,no mention that a 3-judge ct heard case,Pennsylvania Eastern U.S. District Court,45,"U.S. Court of Appeals, Third Circuit",,no mention that dissent occurred,to resolve important or significant question,affirmed,conservative,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,"federal taxation, typically under provisions of the Internal Revenue Code",Federal Taxation,liberal,dissent in opposite direction,federal common law,,,,,"RHJackson 	Jackson, Robert ( 07/11/1941 - 10/09/1954 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,6,3
1946-020,1946-020-01,1946-020-01-01,1946-020-01-01-01,12/23/1946,opinion of the court (orally argued),329 U.S. 304,67 S. Ct. 313,91 L. Ed. 308,1946 U.S. LEXIS 1582,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,59,"EAGLES, POST COMMANDING OFFICER, v. UNITED STATES EX REL. SAMUELS",11/21/1946,,Secretary or administrative unit or personnel of the U.S. Army,,"person subject to selective service, including conscientious objector",,cert,Department or Secretary of Defense (and Department or Secretary of War),,no mention that a 3-judge ct heard case,New Jersey U.S. District Court,35,"U.S. Court of Appeals, Third Circuit",,no mention that dissent occurred,federal court conflict,reversed and remanded,liberal,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,conscientious objectors (cf. military draftee or military active duty) to military service,First Amendment,conservative,dissent in opposite direction,"interpretation of administrative regulation or rule, or executive order",statutory construction,Federal Statute,"Selective Service, Military Selective Service, or Universal Military Service and Training Acts",,"WODouglas 	Douglas, William ( 04/17/1939 - 11/12/1975 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,9,0
1946-021,1946-021-01,1946-021-01-01,1946-021-01-01-01,12/23/1946,opinion of the court (orally argued),329 U.S. 317,67 S. Ct. 320,91 L. Ed. 318,1946 U.S. LEXIS 1583,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,58,"EAGLES, POST COMMANDING OFFICER, v. UNITED STATES EX REL. HOROWITZ",11/21/1946,,Secretary or administrative unit or personnel of the U.S. Army,,"person subject to selective service, including conscientious objector",,cert,Department or Secretary of Defense (and Department or Secretary of War),,no mention that a 3-judge ct heard case,New Jersey U.S. District Court,35,"U.S. Court of Appeals, Third Circuit",,no mention that dissent occurred,federal court conflict,reversed and remanded,liberal,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,conscientious objectors (cf. military draftee or military active duty) to military service,First Amendment,conservative,dissent in opposite direction,"interpretation of administrative regulation or rule, or executive order",statutory construction,Federal Statute,"Selective Service, Military Selective Service, or Universal Military Service and Training Acts",,"WODouglas 	Douglas, William ( 04/17/1939 - 11/12/1975 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,9,0
1946-022,1946-022-01,1946-022-01-01,1946-022-01-01-01,12/23/1946,opinion of the court (orally argued),329 U.S. 324,67 S. Ct. 324,91 L. Ed. 322,1946 U.S. LEXIS 3044,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,60,NATIONAL LABOR RELATIONS BOARD v. A. J. TOWER CO.,11/21/1946,,"National Labor Relations Board, or regional office or officer",,"employer. If employer's relations with employees are governed by the nature of the employer's business (e.g., railroad, boat), rather than labor law generally, the more specific designation is used in place of Employer.",,cert,"National Labor Relations Board, or regional office or officer",,no mention that a 3-judge ct heard case,"U.S. Court of Appeals, First Circuit",,"U.S. Court of Appeals, First Circuit",,no mention that dissent occurred,federal court conflict and to resolve important or significant question,vacated,conservative,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,labor-management disputes: representative election,Unions,liberal,dissent in opposite direction,"interpretation of administrative regulation or rule, or executive order",statutory construction,Federal Statute,"National Labor Relations, as amended",,"FMurphy 	Murphy, Francis ( 02/05/1940 - 07/19/1949 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,8,1
1946-023,1946-023-01,1946-023-01-01,1946-023-01-01-01,12/23/1946,opinion of the court (orally argued),329 U.S. 338,67 S. Ct. 301,91 L. Ed. 331,1946 U.S. LEXIS 1584,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,23,GIBSON v. UNITED STATES,1/2/1946,10/23/1946,"person subject to selective service, including conscientious objector",,United States,,cert,Department or Secretary of Defense (and Department or Secretary of War),,no mention that a 3-judge ct heard case,South Dakota U.S. District Court,49,"U.S. Court of Appeals, Eighth Circuit",,no mention that dissent occurred,to resolve important or significant question,affirmed,conservative,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,conscientious objectors (cf. military draftee or military active duty) to military service,First Amendment,liberal,dissent in opposite direction,statutory construction,,Federal Statute,"Selective Service, Military Selective Service, or Universal Military Service and Training Acts",,"WBRutledge 	Rutledge, Wiley ( 02/15/1943 - 09/10/1949 )","HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )",first vote on issue/legal provision,9,0
1946-024,1946-024-01,1946-024-01-01,1946-024-01-01-01,12/23/1946,opinion of the court (orally argued),329 U.S. 362,67 S. Ct. 340,91 L. Ed. 348,1946 U.S. LEXIS 3045,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,35,"ILLINOIS EX REL. GORDON, DIRECTOR OF LABOR, v. CAMPBELL, COLLECTOR OF INTERNAL REVENUE",3/28/1946,11/19/1946,State,Illinois,"Internal Revenue Service, Collector, Commissioner, or District Director of",,cert,State Agency,Illinois,no mention that a 3-judge ct heard case,State Trial Court,17,State Supreme Court,Illinois,no mention that dissent occurred,to resolve question presented,reversed,liberal,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,priority of federal fiscal claims: over those of the states or private entities,Federal Taxation,liberal,dissent in opposite direction,statutory construction,,Federal Statute,"Bankruptcy Code, Bankruptcy Act or Rules, or Bankruptcy Reform Act of 1978",,"WBRutledge 	Rutledge, Wiley ( 02/15/1943 - 09/10/1949 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,7,2
